MAE2h,date
1.89583639916174,2019/09/09
2.48506465683939,2019/09/10
2.43118029898026,2019/09/11
2.36542307309871,2019/09/12
2.52852171497855,2019/09/13
3.27523454158987,2019/09/14
4.00262836412053,2019/09/15
2.38731439017797,2019/09/16
3.10733077978696,2019/09/17
2.49673113391224,2019/09/18
2.40319087944797,2019/09/19
2.8096818924273,2019/09/20
3.73300687425591,2019/09/21
3.1315233269799,2019/09/22
2.30442902075027,2019/09/23
2.85319915942243,2019/09/24
2.93412274208206,2019/09/25
2.61260079829798,2019/09/26
2.43463110341024,2019/09/27
3.93333827226608,2019/09/28
3.52576065481793,2019/09/29
2.21372787584038,2019/09/30
1.99545362550758,2019/10/01
2.02575161390286,2019/10/02
2.32677622567854,2019/10/03
2.43563927957539,2019/10/04
3.42153418457294,2019/10/05
3.04902144520946,2019/10/06
2.66453393173954,2019/10/07
2.18536008592561,2019/10/08
2.59590576495376,2019/10/09
2.09413207466553,2019/10/10
2.60591213953707,2019/10/11
3.01424597585893,2019/10/12
3.97242177585605,2019/10/13
2.48958530200445,2019/10/14
2.20803125257702,2019/10/15
3.29059530462544,2019/10/16
3.15365651725088,2019/10/17
2.27339373917006,2019/10/18
2.71058611002164,2019/10/19
3.20564561797596,2019/10/20
2.73517912093013,2019/10/21
2.65950960005335,2019/10/22
2.25009582309332,2019/10/23
1.97125862554973,2019/10/24
2.53682576630381,2019/10/25
3.24345614707495,2019/10/26
3.12833146294468,2019/10/27
2.12709731797825,2019/10/28
