sensitivity,specificity,AUC,date
0.7,0.721973094170404,0.726457399103139,2019/09/09
0.640065146579805,0.785361334156887,0.795160105063446,2019/09/10
0.599378881987578,0.777100371747212,0.752242951811402,2019/09/11
0.665094339622642,0.822071725411728,0.836526147046097,2019/09/12
0.677083333333333,0.777102180038558,0.812644439912996,2019/09/13
0.891808346213292,0.627899586908167,0.833614015752595,2019/09/14
0.862857142857143,0.651882221393962,0.836010862041425,2019/09/15
0.656877897990726,0.808539944903581,0.807918537158385,2019/09/16
0.48721071863581,0.818094321462945,0.759073361789128,2019/09/17
0.690208667736758,0.770133975613428,0.814495713394106,2019/09/18
0.710629921259842,0.822178278065105,0.828339809174294,2019/09/19
0.65954606141522,0.81169324221716,0.826339751407343,2019/09/20
0.844262295081967,0.599300699300699,0.805607507246851,2019/09/21
0.884341637010676,0.537323248931273,0.828475251047078,2019/09/22
0.669724770642202,0.798903378778898,0.807708116936675,2019/09/23
0.657458563535912,0.848344264917613,0.856476886350118,2019/09/24
0.508174386920981,0.786965128673671,0.721887656430945,2019/09/25
0.592736705577173,0.81063696266081,0.768905333234032,2019/09/26
0.653666146645866,0.764056520459229,0.789634517379518,2019/09/27
0.789712556732224,0.58720738542697,0.784405827376419,2019/09/28
0.79635761589404,0.562108731466227,0.781165650195839,2019/09/29
0.668041237113402,0.799828055595358,0.808440490839233,2019/09/30
0.780952380952381,0.818883610451306,0.889475525958602,2019/10/01
0.784836065573771,0.801824921585401,0.877752399182899,2019/10/02
0.685374149659864,0.799427365883062,0.808807248034838,2019/10/03
0.733955659276546,0.810192796293529,0.856979463697295,2019/10/04
0.838600451467269,0.628413524057217,0.832850701711642,2019/10/05
0.872408293460925,0.561545956479376,0.830028287524741,2019/10/06
0.623249299719888,0.798074074074074,0.81291337275651,2019/10/07
0.682142857142857,0.788523335883703,0.821112416657558,2019/10/08
0.714659685863874,0.785137559808612,0.836291830801122,2019/10/09
0.756487025948104,0.797285067873303,0.866341224037596,2019/10/10
0.647887323943662,0.79097169089518,0.802543401187538,2019/10/11
0.877980364656382,0.578388507183011,0.829231905374709,2019/10/12
0.823920265780731,0.612468100619759,0.823070019366724,2019/10/13
0.623639191290824,0.8061115355233,0.77552272994593,2019/10/14
0.655913978494624,0.812957317073171,0.817543600839234,2019/10/15
0.557377049180328,0.837692932575142,0.775358564941205,2019/10/16
0.606306306306306,0.816276202219482,0.79930936749679,2019/10/17
0.755381604696673,0.701224119691703,0.808718987770041,2019/10/18
0.91703056768559,0.547083740632128,0.852575622402359,2019/10/19
0.887624466571835,0.588918008236616,0.854026680328676,2019/10/20
0.527431421446384,0.835653274280291,0.752237170439924,2019/10/21
0.670702179176755,0.813341784186341,0.817209699195417,2019/10/22
0.667250437828371,0.756630719906733,0.77970405813687,2019/10/23
0.697727272727273,0.802047267800692,0.836422139504331,2019/10/24
0.675837320574163,0.818074249371395,0.829943618374168,2019/10/25
0.891928864569083,0.561185468451243,0.829802631177421,2019/10/26
0.925589836660617,0.499670402109426,0.821855031960826,2019/10/27
0.692307692307692,0.803473356093217,0.841347768892436,2019/10/28
